,Mej,Rcsm,kappa,Mcsm,beta,delta,s,tau,bt,Lpeak,tpeak,max_ind,trise,tfall
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a6.0e-02_b1.0e-01_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.3,0.1,0.1,0,2151.837339,215.1837339,1.38E+46,1.16138806,175,0.090090974,0.553482986
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a6.0e-02_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.3,0.01,0.1,0,2151.837339,21.51837339,9.33E+43,4.115824179,75,0.79411243,2.413354517
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a6.0e-02_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.3,0.03,0.1,0,2151.837339,64.55512016,1.40E+45,1.910553558,91,0.214679642,0.751266251
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a6.0e-02_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.3,0.05,0.1,0,2151.837339,107.5918669,3.86E+45,1.479121914,128,0.119633512,0.604148113
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a6.0e-03_b1.0e-01_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.03,0.1,0.1,0,215.1837339,21.51837339,1.47E+46,0.984195513,176,0.088593286,0.391207931
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a6.0e-03_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.03,0.01,0.1,0,215.1837339,2.151837339,3.12E+43,2.519737451,52,0.93609993,1.440091478
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a6.0e-03_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.03,0.03,0.1,0,215.1837339,6.455512016,7.23E+44,1.404103911,76,0.26593663,0.608686635
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a6.0e-03_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.03,0.05,0.1,0,215.1837339,10.75918669,2.88E+45,1.177626096,94,0.162733387,0.457262855
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+13_k2.0e-01_a1.0e-01_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+13,0.2,0.5,0.01,0.1,0,159395.3584,1593.953584,1.02E+44,0.694017668,70,0.019311954,0.056816954
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+13_k2.0e-01_a1.0e-01_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+13,0.2,0.5,0.03,0.1,0,159395.3584,4781.860752,5.19E+44,0.314841319,341,0.009060291,0.052172364
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+13_k2.0e-01_a1.0e-02_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+13,0.2,0.05,0.01,0.1,0,15939.53584,159.3953584,9.13E+43,0.436008419,42,0.030081422,0.063765919
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+13_k2.0e-01_a1.0e-02_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+13,0.2,0.05,0.03,0.1,0,15939.53584,478.1860752,5.66E+44,0.227382485,145,0.010132845,0.070107885
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+13_k2.0e-01_a1.0e-03_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+13,0.2,0.005,0.01,0.1,0,1593.953584,15.93953584,7.94E+43,0.275444737,42,0.048916961,0.10483416
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+13_k2.0e-01_a1.0e-03_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+13,0.2,0.005,0.03,0.1,0,1593.953584,47.81860752,7.60E+44,0.173774953,132,0.013078098,0.067932837
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+13_k2.0e-01_a1.0e-03_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+13,0.2,0.005,0.05,0.1,0,1593.953584,79.69767921,1.81E+45,0.154233059,221,0.010204964,0.064704903
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+13_k2.0e-01_a2.0e-02_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+13,0.2,0.1,0.01,0.1,0,31879.07168,318.7907168,9.57E+43,0.501044812,49,0.024854066,0.062376557
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+13_k2.0e-01_a2.0e-02_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+13,0.2,0.1,0.03,0.1,0,31879.07168,956.3721505,5.31E+44,0.250002106,171,0.009632804,0.060033932
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+13_k2.0e-01_a2.0e-03_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+13,0.2,0.01,0.01,0.1,0,3187.907168,31.87907168,8.60E+43,0.313079625,31,0.048831391,0.094916216
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+13_k2.0e-01_a2.0e-03_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+13,0.2,0.01,0.03,0.1,0,3187.907168,95.63721505,7.02E+44,0.188053275,100,0.015238526,0.071317988
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+13_k2.0e-01_a2.0e-03_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+13,0.2,0.01,0.05,0.1,0,3187.907168,159.3953584,1.64E+45,0.162389541,244,0.010681473,0.069382455
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+13_k2.0e-01_a4.0e-02_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+13,0.2,0.2,0.01,0.1,0,63758.14337,637.5814337,9.89E+43,0.574276098,57,0.021347147,0.064308881
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+13_k2.0e-01_a4.0e-02_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+13,0.2,0.2,0.03,0.1,0,63758.14337,1912.744301,5.13E+44,0.275513778,191,0.010379422,0.054519421
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+13_k2.0e-01_a4.0e-03_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+13,0.2,0.02,0.01,0.1,0,6375.814337,63.75814337,8.85E+43,0.354538782,34,0.038043168,0.08649439
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+13_k2.0e-01_a4.0e-03_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+13,0.2,0.02,0.03,0.1,0,6375.814337,191.2744301,6.35E+44,0.201908052,116,0.010927931,0.078374326
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+13_k2.0e-01_a6.0e-02_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+13,0.2,0.3,0.01,0.1,0,95637.21505,956.3721505,1.00E+44,0.627930282,63,0.020784601,0.048523205
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+13_k2.0e-01_a6.0e-02_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+13,0.2,0.3,0.03,0.1,0,95637.21505,2869.116451,5.10E+44,0.292909564,203,0.009742578,0.055280713
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+13_k2.0e-01_a6.0e-03_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+13,0.2,0.03,0.01,0.1,0,9563.721505,95.63721505,9.04E+43,0.386596475,37,0.034430472,0.073233582
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+13_k2.0e-01_a6.0e-03_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+13,0.2,0.03,0.03,0.1,0,9563.721505,286.9116451,6.00E+44,0.213792119,128,0.012559576,0.074434391
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a1.0e-01_b1.0e-01_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.5,0.1,0.1,0,1593.953584,159.3953584,1.73E+46,1.804109493,214,0.144208421,0.850143209
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a1.0e-01_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.5,0.01,0.1,0,1593.953584,15.93953584,8.56E+43,6.880803903,81,1.57932874,4.128996444
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a1.0e-01_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.5,0.03,0.1,0,1593.953584,47.81860752,1.56E+45,3.128381889,62,0.41487823,1.244521675
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a1.0e-01_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.5,0.05,0.1,0,1593.953584,79.69767921,4.58E+45,2.33025554,78,0.204102235,0.987431134
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a1.0e-02_b1.0e-01_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.05,0.1,0.1,0,159.3953584,15.93953584,1.57E+46,1.524713138,101,0.155629487,0.542990855
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a1.0e-02_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.05,0.01,0.1,0,159.3953584,1.593953584,2.77E+43,4.178982668,55,1.677868701,2.442410035
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a1.0e-02_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.05,0.03,0.1,0,159.3953584,4.781860752,6.50E+44,2.255586083,79,0.498453884,0.963935557
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a1.0e-02_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.05,0.05,0.1,0,159.3953584,7.969767921,2.67E+45,1.833465693,64,0.294126717,0.713031443
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a1.0e-03_b1.0e-01_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.005,0.1,0.1,0,15.93953584,1.593953584,3.69E+45,1.320497121,92,0.105130511,0.515590411
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a1.0e-03_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.005,0.01,0.1,0,15.93953584,0.159395358,8.38E+42,2.709232883,38,1.318441469,1.187416886
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a1.0e-03_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.005,0.03,0.1,0,15.93953584,0.478186075,1.94E+44,1.639409648,61,0.308818553,0.644483693
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a1.0e-03_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.005,0.05,0.1,0,15.93953584,0.796976792,7.20E+44,1.464177768,84,0.196612922,0.537663511
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a2.0e-02_b1.0e-01_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.1,0.1,0.1,0,318.7907168,31.87907168,1.83E+46,1.594173238,158,0.15433115,0.677269852
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a2.0e-02_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.1,0.01,0.1,0,318.7907168,3.187907168,3.90E+43,4.891350433,63,1.670706986,2.890110132
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a2.0e-02_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.1,0.03,0.1,0,318.7907168,9.563721505,9.22E+44,2.468192328,84,0.492591502,1.157776519
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a2.0e-02_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.1,0.05,0.1,0,318.7907168,15.93953584,3.75E+45,1.986821004,99,0.280645265,0.802326493
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a2.0e-03_b1.0e-01_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.01,0.1,0.1,0,31.87907168,3.187907168,5.92E+45,1.361735343,141,0.110910647,0.519528975
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a2.0e-03_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.01,0.01,0.1,0,31.87907168,0.318790717,1.23E+43,2.962113329,41,1.354241162,1.571395328
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a2.0e-03_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.01,0.03,0.1,0,31.87907168,0.95637215,2.86E+44,1.779582106,65,0.362191859,0.729805555
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a2.0e-03_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.01,0.05,0.1,0,31.87907168,1.593953584,1.10E+45,1.554415751,87,0.234074166,0.581202512
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a4.0e-02_b1.0e-01_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.2,0.1,0.1,0,637.5814337,63.75814337,1.85E+46,1.677473991,177,0.149907315,0.779097391
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a4.0e-02_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.2,0.01,0.1,0,637.5814337,6.375814337,5.45E+43,5.657277567,71,1.66739493,3.414820546
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a4.0e-02_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.2,0.03,0.1,0,637.5814337,19.12744301,1.28E+45,2.735070171,88,0.45224317,1.23836322
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a4.0e-02_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.2,0.05,0.1,0,637.5814337,31.87907168,4.47E+45,2.131324868,107,0.267330128,0.900047253
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a4.0e-03_b1.0e-01_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.02,0.1,0.1,0,63.75814337,6.375814337,9.26E+45,1.421169721,144,0.136478034,0.521588973
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a4.0e-03_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.02,0.01,0.1,0,63.75814337,0.637581434,1.73E+43,3.49289357,47,1.595545779,1.7908943
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a4.0e-03_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.02,0.03,0.1,0,63.75814337,1.912744301,4.08E+44,1.946025325,70,0.420364059,0.868339402
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a4.0e-03_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.02,0.05,0.1,0,63.75814337,3.187907168,1.62E+45,1.660312394,91,0.251533134,0.630882914
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a6.0e-02_b1.0e-01_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.3,0.1,0.1,0,956.3721505,95.63721505,1.81E+46,1.731548826,190,0.151020693,0.834304635
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a6.0e-02_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.3,0.01,0.1,0,956.3721505,9.563721505,6.65E+43,6.0910199,75,1.530127599,3.917262043
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a6.0e-02_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.3,0.03,0.1,0,956.3721505,28.69116451,1.46E+45,2.895436379,90,0.430834175,1.271900524
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a6.0e-02_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.3,0.05,0.1,0,956.3721505,47.81860752,4.58E+45,2.225603294,112,0.251159036,0.958542136
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a6.0e-03_b1.0e-01_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.03,0.1,0.1,0,95.63721505,9.563721505,1.18E+46,1.464562312,144,0.139574677,0.534230454
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a6.0e-03_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.03,0.01,0.1,0,95.63721505,0.95637215,2.14E+43,3.743198309,50,1.53849097,2.090049057
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a6.0e-03_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.03,0.03,0.1,0,95.63721505,2.869116451,5.00E+44,2.079175167,74,0.473879047,0.907999888
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r3.0e+14_k2.0e-01_a6.0e-03_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,3E+14,0.2,0.03,0.05,0.1,0,95.63721505,4.781860752,2.02E+45,1.743799164,94,0.289361709,0.66464966
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r5.0e+13_k2.0e-01_a1.0e-01_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,5E+13,0.2,0.5,0.01,0.1,0,57382.32903,573.8232903,1.22E+44,1.148543795,57,0.046571679,0.085957109
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r5.0e+13_k2.0e-01_a1.0e-01_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,5E+13,0.2,0.5,0.03,0.1,0,57382.32903,1721.469871,6.82E+44,0.522328517,161,0.020123185,0.091988992
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r5.0e+13_k2.0e-01_a1.0e-02_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,5E+13,0.2,0.05,0.01,0.1,0,5738.232903,57.38232903,9.37E+43,0.717741718,57,0.091201015,0.18118974
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r5.0e+13_k2.0e-01_a1.0e-02_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,5E+13,0.2,0.05,0.03,0.1,0,5738.232903,172.1469871,7.96E+44,0.374557448,130,0.021281642,0.143093976
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r5.0e+13_k2.0e-01_a1.0e-02_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,5E+13,0.2,0.05,0.05,0.1,0,5738.232903,286.9116451,1.85E+45,0.311475325,268,0.020678377,0.132579288
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r5.0e+13_k2.0e-01_a1.0e-03_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,5E+13,0.2,0.005,0.01,0.1,0,573.8232903,5.738232903,5.16E+43,0.434135572,40,0.097235579,0.217518787
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r5.0e+13_k2.0e-01_a1.0e-03_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,5E+13,0.2,0.005,0.03,0.1,0,573.8232903,17.21469871,8.94E+44,0.285030603,87,0.029261682,0.116729057
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r5.0e+13_k2.0e-01_a1.0e-03_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,5E+13,0.2,0.005,0.05,0.1,0,573.8232903,28.69116451,2.38E+45,0.254152291,169,0.02139315,0.1039429
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r5.0e+13_k2.0e-01_a2.0e-02_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,5E+13,0.2,0.1,0.01,0.1,0,11476.46581,114.7646581,1.01E+44,0.82705526,63,0.076422462,0.13981846
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r5.0e+13_k2.0e-01_a2.0e-02_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,5E+13,0.2,0.1,0.03,0.1,0,11476.46581,344.2939742,7.44E+44,0.414189186,159,0.020767904,0.128460234
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r5.0e+13_k2.0e-01_a2.0e-02_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,5E+13,0.2,0.1,0.05,0.1,0,11476.46581,573.8232903,1.65E+45,0.3330509,313,0.019096289,0.152633033
