event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2010X,55207.3,20.91,,T,r,,Palomar 48-in,2010ApJ...723L..98K
SN2010X,55207.4,20.85,,T,r,,Palomar 48-in,2010ApJ...723L..98K
SN2010X,55213.2,20.48,,T,r,,Palomar 48-in,2010ApJ...723L..98K
SN2010X,55221.2,20.42,,T,r,,Palomar 48-in,2010ApJ...723L..98K
SN2010X,55234.1,17.95,0.15,F,r,,Rich,2010ApJ...723L..98K
SN2010X,55237.1,17.43,0.12,F,r,,Rich,2010ApJ...723L..98K
SN2010X,55239.2,17.41,0.19,F,r,,Brimacombe,2010ApJ...723L..98K
SN2010X,55246.1,17.84,0.09,F,r,,Palomar 48-in,2010ApJ...723L..98K
SN2010X,55246.2,17.79,0.1,F,r,,Palomar 48-in,2010ApJ...723L..98K
SN2010X,55246.3,17.78,0.09,F,r,,Palomar 48-in,2010ApJ...723L..98K
SN2010X,55246.3,17.83,0.09,F,r,,Palomar 48-in,2010ApJ...723L..98K
SN2010X,55251.1,18.77,0.12,F,r,,Palomar 48-in,2010ApJ...723L..98K
SN2010X,55251.3,19.61,0.18,F,g,,LCOGT/FTN,2010ApJ...723L..98K
SN2010X,55251.3,18.74,0.12,F,i,,LCOGT/FTN,2010ApJ...723L..98K
SN2010X,55251.3,18.87,0.1,F,r,,LCOGT/FTN,2010ApJ...723L..98K
SN2010X,55254.3,21.02,0.34,F,g,,LCOGT/FTN,2010ApJ...723L..98K
SN2010X,55254.3,19.57,0.14,F,i,,LCOGT/FTN,2010ApJ...723L..98K
SN2010X,55254.3,19.74,0.13,F,r,,LCOGT/FTN,2010ApJ...723L..98K
SN2010X,55255.3,19.96,0.11,F,r,,LCOGT/FTN,2010ApJ...723L..98K
SN2010X,55256.3,20.66,,T,g,,LCOGT/FTN,2010ApJ...723L..98K
SN2010X,55256.3,20.39,0.17,F,i,,LCOGT/FTN,2010ApJ...723L..98K
SN2010X,55268.1,20.72,,T,r,,Palomar 48-in,2010ApJ...723L..98K
SN2010X,55282.3,20.7,,T,r,,LCOGT/FTN,2010ApJ...723L..98K
SN2010X,55294.1,22.55,,T,r,,Palomar 200-in,2010ApJ...723L..98K