mjd,Fratio,Fratio_unc,instrument,wave,Fratio0,Fratio0_abs,Fratio0_unc,freq,fnu,fnu_unc,nufnu,nufnu_unc,flambda,flambda_unc,Llambda,Llambda_unc,datetime64,date,Fratio0_max,Fratio0_min
58602.28473379975,7.570295418385901e-08,1.6613208118088512e-09,P48+ZTF,6421.811631761602,5.151859577817241e-07,2904544.8784881034,153147.0241479094,466834711434477.7,1.0546402453790304e-13,5.5607684468105905e-15,49.23426746187064,2.595959733220771,0.007666725572946293,0.0004042410276223968,9.173200216222957e+37,4.836724422584125e+36,2019-04-29T06:50:01.000298560,2019 04 29,8.321024764597361e-07,2.509832975552497e-07
58604.6066,1.6284109887083448e-08,2.6654847149545582e-09,Swift UVOT,2614.221270963571,2.134602737432222e-06,12034585.483097164,2456112.8626959915,1146775375634137.0,4.36975798891258e-13,8.918145804449146e-14,501.1130859165495,102.27110004857172,0.19168732634932817,0.03912105726646307,2.2935296258936218e+39,4.6808156567116974e+38,2019-05-01T14:33:30.239999928,2019 05 01,7.222795544070302e-06,3.429530526640308e-07
58604.6072,6.016245304323878e-08,6.1378234646103e-09,Swift UVOT,3475.494701506968,2.3143343714808495e-06,13047886.776140982,1785894.5378995058,862589311012359.0,4.737687688416791e-13,6.484583067113105e-14,408.66787589431755,55.935320400635035,0.11758552695163653,0.016094203906103378,1.4069051656989556e+39,1.925663744537398e+38,2019-05-01T14:34:22.079999875,2019 05 01,5.763698407574262e-06,5.88861812992723e-07
58604.6075,1.5810248554117325e-07,1.3604074910492978e-08,Swift UVOT,4359.055837249707,3.371261424170543e-06,19006690.60504122,2188278.6771023623,687746312947324.8,6.901329358690467e-13,7.945639876558677e-14,474.6363820874494,54.64584529110467,0.10888513471919999,0.012536165475132522,1.3028053917492528e+39,1.4999461602340829e+38,2019-05-01T14:34:47.999999849,2019 05 01,7.244457426564334e-06,1.0702180738228228e-06
58604.6085,4.2667265216193885e-09,1.2751867254199946e-09,Swift UVOT,2079.0336838585954,4.839184567514244e-06,27282631.716424428,9460509.158033295,1441979802095357.8,9.90632357623371e-13,3.4351108752818896e-13,1428.4718509950062,495.336050011459,0.6870845153137803,0.23825301814838182,8.220933127801636e+39,2.8506858851276356e+39,2019-05-01T14:36:14.400000181,2019 05 01,2.808287269884831e-05,3.461530553778735e-07
58604.6093,2.864008975488846e-07,2.8159731203525198e-08,Swift UVOT,5430.085524243962,2.9016236330849175e-06,16358939.787616655,1866548.3134301684,552095278539356.9,5.939931036883607e-13,6.777436926064941e-14,327.94078803128264,37.41790927478746,0.06039330072557969,0.006890850817676064,7.226029339425093e+38,8.244869809051272e+37,2019-05-01T14:37:23.519999692,2019 05 01,5.176756722072941e-06,1.2176320345629512e-06
58604.6106,3.784846598733132e-09,1.0313825392453869e-09,Swift UVOT,2255.07772455265,3.6657919470889425e-06,20667211.644055083,6658749.712823036,1329410754830950.2,7.504264547956401e-13,2.417792020726044e-13,997.6249997149858,321.4238715297659,0.4423905166784835,0.14253338943939425,5.29318122142009e+39,1.7054051385877112e+39,2019-05-01T14:39:15.839999998,2019 05 01,2.0450206395849283e-05,2.782101617855119e-07
58605.20738429995,6.663573674643133e-07,7.437885482689497e-09,P48+ZTF,7883.058236798149,2.71196953776191e-06,15289697.074506592,563006.8508018999,380299686992755.6,5.551689007753343e-13,2.0442778752616985e-14,211.13055919297184,7.774382360882394,0.026782823727904675,0.0009862139955520745,3.204551957341823e+38,1.1800002949321386e+37,2019-05-02T04:58:38.003515899,2019 05 02,3.851937287020743e-06,1.6021132264034185e-06
58606.0342,1.1127446158083171e-08,2.303391352244561e-09,Swift UVOT,2614.221270963571,1.4586414114359798e-06,8223612.032011264,1975517.0818684471,1146775375634137.0,2.98599352882329e-13,7.173102524264331e-14,342.4263850657431,82.25937341725405,0.13098599910769174,0.03146610974783103,1.5672411695246092e+39,3.764904873614431e+38,2019-05-03T00:49:14.880000162,2019 05 03,4.9355641226196706e-06,2.3435064334073717e-07
58606.0355,4.7681437620490226e-08,5.468532635637565e-09,Swift UVOT,3475.494701506968,1.83421360640683e-06,10341034.447991205,1515564.266133968,862589311012359.0,3.754829608065607e-13,5.503013850332438e-14,323.8875884590118,47.46840925649726,0.09319179462957454,0.01365802952768567,1.1150353335494393e+39,1.6341766537027369e+38,2019-05-03T00:51:07.199999839,2019 05 03,4.56798903938569e-06,4.666993512236243e-07
58606.0361,1.3214699834756268e-07,1.236262709997246e-08,Swift UVOT,4359.055837249707,2.817805655136575e-06,15886385.994374033,1919787.6098171605,687746312947324.8,5.768346754557211e-13,6.97074881124611e-14,396.7159212248389,47.941067934164586,0.09100959841687689,0.010998039420484326,1.0889254609842912e+39,1.3159101187346249e+38,2019-05-03T00:51:59.039999787,2019 05 03,6.055143916936558e-06,8.945217119699608e-07
58606.063,3.333058766180116e-07,3.894018479757642e-08,Swift UVOT,5430.085524243962,3.376833721255475e-06,19038106.420466673,2482311.9996534656,552095278539356.9,6.912736441271449e-13,9.013274870741734e-14,381.64891510129235,49.761865003139434,0.07028414440202208,0.009164103360981196,8.409464020738478e+38,1.0964805526505458e+38,2019-05-03T01:30:43.200000166,2019 05 03,6.024574126881697e-06,1.4170483268436881e-06
58606.20662039984,4.9171499622615e-07,7.072524756102963e-09,P48+ZTF,6421.811631761602,3.346298225973571e-06,18865951.6575243,944314.0463101453,466834711434477.7,6.850227046847073e-13,3.428804302152138e-14,319.79237666755074,16.00684866960489,0.0497978444409505,0.0024925752400516863,5.958288098964988e+38,2.982354267599959e+37,2019-05-03T04:57:32.002546191,2019 05 03,5.404772779123692e-06,1.6302171102923696e-06
58607.5572,1.5360716331589093e-08,3.7043381988432937e-09,Swift UVOT,3475.494701506968,5.908973450802311e-07,3331394.870999504,858972.1802091119,862589311012359.0,1.20962947765992e-13,3.118927986339285e-14,104.341345771491,26.90353942833568,0.03002201261485129,0.007740923735740514,3.5921193472974125e+38,9.261977960582174e+37,2019-05-04T13:22:22.080000252,2019 05 04,1.4715911965216946e-06,1.5034857806388968e-07
58607.5579,6.460677003580282e-08,9.415948499036078e-09,Swift UVOT,4359.055837249707,1.3776273713624696e-06,7766866.44019752,1278406.8722794242,687746312947324.8,2.8201492044357197e-13,4.6418953532465894e-14,193.95472173119973,31.924464142826615,0.04449466328781259,0.007323710760945188,5.323765028616726e+38,8.762784646019235e+37,2019-05-04T13:23:22.559999982,2019 05 04,2.9603645596723904e-06,4.3733235911477534e-07
58607.5622,1.6991508895621038e-07,2.198253814376205e-08,Swift UVOT,5430.085524243962,1.7214668038842752e-06,9705384.071876833,1375595.473421944,552095278539356.9,3.5240249564984784e-13,4.994787163995079e-14,194.55975399376723,27.575984105506674,0.035829961263981386,0.005078370125550852,4.2870376053868e+38,6.076245391924324e+37,2019-05-04T13:29:34.080000026,2019 05 04,3.071251125480663e-06,7.223931811644599e-07
58609.21166670043,1.023558265453412e-07,1.3764527016852084e-09,P48+ZTF,4813.966872932173,1.513374737164943e-06,8532190.708365709,585911.1120506234,622755548414061.5,3.098038446207589e-13,2.1274432478558137e-14,192.93206315758542,13.248770865382394,0.04007756352508323,0.0027521524794607917,4.795261169791687e+38,3.2929371841290936e+37,2019-05-06T05:04:48.002917171,2019 05 06,2.9675972337259223e-06,5.511359793296795e-07
58612.211157399695,3.8102196074708726e-07,4.138283367712061e-09,P48+ZTF,6421.811631761602,2.5929921216365437e-06,14618919.388424754,718631.1314844665,466834711434477.7,5.308129629937029e-13,2.609349638420098e-14,247.80191640484537,12.181349854835052,0.03858754049702163,0.0018968712496310826,4.61698063225134e+38,2.269597312660307e+37,2019-05-09T05:04:03.999333680,2019 05 09,4.188070604922248e-06,1.2632287495282534e-06
58612.254594899714,1.2402542171343935e-07,1.363061374780959e-09,P48+ZTF,4813.966872932173,1.8337689833827117e-06,10338527.726858662,705418.0907515611,622755548414061.5,3.75391941762238e-13,2.5613730875189183e-14,233.77741456236197,15.951093018108619,0.04856232307638811,0.0033135028634696142,5.810458562864919e+38,3.964590214483705e+37,2019-05-09T06:06:36.999335289,2019 05 09,3.5958626959595003e-06,6.678161328464609e-07
58619.19440970011,3.8028879803398514e-07,9.123513806283894e-09,P48+ZTF,6421.811631761602,2.588002684452335e-06,14590789.653906504,782218.4496867497,466834711434477.7,5.297915723333452e-13,2.8402351908125883e-14,247.3250957906554,13.259203757090432,0.03851329032564761,0.0020647139027734495,4.608096635013899e+38,2.470420238621032e+37,2019-05-16T04:39:56.998089552,2019 05 16,4.1800119166478305e-06,1.2607980439189052e-06
58619.25165510038,8.529794878956651e-08,3.5547697544897445e-09,P48+ZTF,4813.966872932173,1.261166708208215e-06,7110277.848057872,563087.3784422155,622755548414061.5,2.581741886629813e-13,2.0445702711236845e-14,160.7794084471703,12.732674804647166,0.03339852821821353,0.0026449444170960263,3.99611781271972e+38,3.164663253947532e+37,2019-05-16T06:02:23.000672758,2019 05 16,2.473039058096829e-06,4.592876646853702e-07
58624.5646,2.703475874414762e-08,8.562518314513909e-09,Swift UVOT,4359.055837249707,5.764693638682045e-07,3250051.972763777,1058961.8356059843,687746312947324.8,1.1800938713105273e-13,3.845090425085329e-14,81.16052089255498,26.444467628014966,0.018618830297838583,0.006066558588682768,2.2277340761567894e+38,7.258608127804424e+37,2019-05-21T13:33:01.439999817,2019 05 21,1.238767107860624e-06,1.8300210354309446e-07
58624.5681,1.1787590718810246e-07,2.1751183145139082e-08,Swift UVOT,5430.085524243962,1.1942403847039008e-06,6732956.791002094,1302113.3722714474,552095278539356.9,2.4447366108128605e-13,4.7279736547176257e-14,134.97275401020894,26.102919318280687,0.024856469277986442,0.004807091748691201,2.9740645753639495e+38,5.751662120801806e+37,2019-05-21T13:38:03.839999721,2019 05 21,2.130631922346893e-06,5.011488508722441e-07
58628.192199100275,2.9691301485924545e-08,6.527182707710677e-10,P48+ZTF,4813.966872932173,4.3899861003458773e-07,2475011.4889187124,175326.065467618,622755548414061.5,8.986766716263845e-14,6.36608943712921e-15,55.965588348561255,3.9645175186723653,0.011625669603844362,0.0008235448276480534,1.3910057678344504e+38,9.853674191376123e+36,2019-05-25T04:36:46.002263725,2019 05 25,8.608383824278006e-07,1.598731120086159e-07
58628.30576969986,2.0003570345608586e-07,1.8926217700123765e-09,P48+ZTF,6421.811631761602,1.3613152430653426e-06,7674900.989689774,375052.82722390327,466834711434477.7,2.786756549356357e-13,1.3618168156499928e-14,130.09546895569156,6.357433601605837,0.020258375115248337,0.0009899750983293626,2.4239048237656754e+38,1.1845004362873478e+37,2019-05-25T07:20:18.502067775,2019 05 25,2.1987279891603497e-06,6.63192355218511e-07
58629.1437,6.940342687964747e-08,1.7497861470669237e-08,Swift UVOT,5430.085524243962,7.031494152936198e-07,3964256.01698618,1025470.3126517812,552095278539356.9,1.439421359767682e-13,3.7234827052386175e-14,79.46977365564382,20.557172212851924,0.014635086924659165,0.0037857916088189286,1.7510811005868993e+38,4.529681423205954e+37,2019-05-26T03:26:55.680000046,2019 05 26,1.2544816015207778e-06,2.950683346328615e-07
58633.17189999996,2.779713267759283e-07,2.816231586581728e-08,P60+SEDM,7681.939914479305,1.2117888105071687e-06,6831892.31034714,736430.1755465957,390256187027623.3,2.4806600978870465e-13,2.673977967409689e-14,96.80929511129696,10.435364457571797,0.012602193741300418,0.0013584282842284017,1.5078464104742307e+38,1.6253528983193524e+37,2019-05-30T04:07:32.159996331,2019 05 30,1.7509900267822985e-06,6.976568074032487e-07
58633.20120369992,1.491436754332144e-07,1.6675810767406367e-09,P48+ZTF,6421.811631761602,1.014976603007256e-06,5722293.18272494,281704.52645557653,466834711434477.7,2.0777646546474257e-13,1.0228691355601984e-14,96.99726629810881,4.775108177344788,0.015104346228153216,0.0007435764938553488,1.8072277502004713e+38,8.896856929745197e+36,2019-05-30T04:49:43.999673277,2019 05 30,1.6393392175274629e-06,4.94466456075491e-07
58633.22868059995,2.4159851887038378e-08,8.841547926760998e-10,P48+ZTF,4813.966872932173,3.572137584497367e-07,2013920.1718503735,154352.06627827944,622755548414061.5,7.312544143988706e-14,5.604523526564326e-15,45.53927438691721,3.490248122385077,0.00945982296699507,0.0007250253719048086,1.1318632610573808e+38,8.674893649243326e+36,2019-05-30T05:29:18.003835380,2019 05 30,7.004653476706884e-07,1.3008896591074385e-07
58634.21579860011,2.1849984147721827e-08,9.815388329068077e-10,P48+ZTF,4813.966872932173,3.230613745468481e-07,1821373.9072347477,147438.81947355962,622755548414061.5,6.613408657169368e-14,5.35350353508495e-15,41.18536935181812,3.333924029928445,0.008555391102376289,0.0006925523415365262,1.0236484241346133e+38,8.286355405163112e+36,2019-05-31T05:10:44.999049604,2019 05 31,6.334954706756347e-07,1.176514597950922e-07
58634.25732639991,1.3821432462068828e-07,2.574434285961664e-09,P48+ZTF,6421.811631761602,9.405984215084384e-07,5302959.614174572,272752.17661478627,466834711434477.7,1.925504635906787e-13,9.903631532882889e-15,89.88924010692939,4.6233589688067775,0.01399748937859633,0.0007199462136105227,1.6747928613411172e+38,8.614121764923136e+36,2019-05-31T06:10:33.000952005,2019 05 31,1.5192073154736421e-06,4.5823161508891805e-07
58635.19334489992,2.19218513525042e-08,8.313694968210301e-10,P48+ZTF,4813.966872932173,3.2412396195216915e-07,1827364.6233236727,141228.9861276041,622755548414061.5,6.635160947288255e-14,5.128024486293304e-15,41.320832945440614,3.193505701242323,0.008583530804455291,0.0006633833978373782,1.0270153259330345e+38,7.937350398916107e+36,2019-06-01T04:38:24.999352992,2019 06 01,6.355791128609998e-07,1.1803842948334804e-07
58635.23576389998,1.3586793584451748e-07,2.3834781173221103e-09,P48+ZTF,6421.811631761602,9.24630398040768e-07,5212934.177568533,266127.93182262254,466834711434477.7,1.8928163998751344e-13,9.663105204479425e-15,88.36323978341552,4.511072929694151,0.013759861679277584,0.0007024611104104738,1.6463608215865813e+38,8.404913347419115e+36,2019-06-01T05:39:30.000958443,2019 06 01,1.4934165661899725e-06,4.5045246830741056e-07
58636.20693864976,1.3548363044866904e-07,1.1920890530687088e-09,P48+ZTF,6421.811631761602,9.220150609568279e-07,5198189.280472761,253377.8627202447,466834711434477.7,1.8874625277396595e-13,9.200150195372085e-15,88.11330244807337,4.294949461610381,0.013720941612842439,0.0006688065156517538,1.6417040543860162e+38,8.002237742325106e+36,2019-06-02T04:57:59.499339312,2019 06 02,1.4891924051245314e-06,4.491783537558957e-07
58636.24918984994,1.9502556494286483e-08,7.313603482283068e-10,P48+ZTF,4813.966872932173,2.883536512258143e-07,1625696.7182636878,125306.55927330515,622755548414061.5,5.90290478401545e-14,4.54988116721371e-15,36.76066706005529,2.833463741506984,0.007636252602142332,0.0005885922808149965,9.136739453449048e+37,7.042478286547522e+36,2019-06-02T05:58:50.003035069,2019 06 02,5.654366210153216e-07,1.0501171194342928e-07
58637.193159699906,1.2417665419965554e-07,1.5897358315454496e-09,P48+ZTF,6421.811631761602,8.450670019112637e-07,4764367.109207203,236420.43856730312,466834711434477.7,1.7299416973531354e-13,8.584426124378777e-15,80.75968330823214,4.007508092604958,0.012575841201695059,0.0006240463474176425,1.504693341804877e+38,7.466684485570755e+36,2019-06-03T04:38:08.998071849,2019 06 03,1.364909765965892e-06,4.116915447541755e-07
58637.214513900224,2.0615387337677917e-08,1.004429681924e-09,P48+ZTF,4813.966872932173,3.0480733190007e-07,1718460.2208646964,142835.8122938164,622755548414061.5,6.239729061959713e-14,5.186368344388473e-15,38.858258939358784,3.2298396625869716,0.008071983037076933,0.0006709310113344602,9.658088819867149e+37,8.027657230828433e+36,2019-06-03T05:08:54.000979364,2019 06 03,5.977008686298959e-07,1.1100376083210806e-07
58638.2057523001,2.0731534272507758e-08,1.1794639145464645e-09,P48+ZTF,4813.966872932173,3.0652461408031564e-07,1728142.0126259243,152346.7416372725,622755548414061.5,6.274883647844731e-14,5.5317101888493644e-15,39.07718607347972,3.4449032123245376,0.008117460527865645,0.000715605924023789,9.712502418523711e+37,8.562190409096355e+36,2019-06-04T04:56:16.998728514,2019 06 04,6.010683107593784e-07,1.1162915517294931e-07
