mjd,Fratio,Fratio_unc,filterid,limmag
58568.42799770009,5.566370982120732e-10,6.668843478397372e-10,1.0,21.19244867816919
58569.42954859999,-1.8898368130968825e-09,1.4690665654456736e-09,1.0,20.334971302354873
58572.50249130011,-5.095498123162287e-10,4.2453630154533595e-10,1.0,21.682787908853967
58573.48267940013,3.3984762264443946e-10,5.239076472483594e-10,1.0,21.454438144912938
58574.43313659992,-5.597584377532396e-10,5.326941960193759e-10,1.0,21.4363800767947
58575.51022569998,7.358965583643752e-10,9.93012743029437e-10,1.0,20.760187934910782
58589.45374999987,1.616426685981329e-08,4.728485337011128e-09,1.0,19.0657698725818
58605.48842590023,2.4694310952611184e-09,8.698459259771081e-10,1.0,20.90396915480801
58607.42180554988,1.6473468827593282e-09,4.249293195492232e-10,1.0,21.681783244519607
58608.42635417497,1.7098611514205732e-09,3.765406627698437e-10,1.0,21.813045282419793
58617.42748843335,1.7237526290714092e-09,3.7325519856403336e-10,1.0,21.822560326318996
58618.427210600115,-2.1467998471683346e-09,4.054645354930859e-09,1.0,19.232692804032563
58628.464838000014,1.3668702176875765e-09,9.033541877233164e-10,1.0,20.86292983371235
58635.44880497502,6.932290355468735e-10,3.0243654871969257e-10,1.0,22.050989305584523
58567.53253469989,-1.5028015356099464e-09,1.4584370489345424e-09,2.0,20.342855768543306
58568.50408564997,1.156408327401179e-09,1.5781571506066664e-09,2.0,20.257199370552037
58572.4546903749,-1.1186682112377444e-10,4.934612842429975e-10,2.0,21.519442277492857
58573.45810569994,3.9141896176604477e-10,6.701190919447898e-10,2.0,21.18719501084697
58574.47127699992,8.304753735116221e-10,1.0476735961008154e-09,2.0,20.702009992206772
58575.44598377508,-1.6551152941663925e-10,4.171700788693487e-10,2.0,21.701792110386947
58577.40966439992,7.068382063956701e-10,5.240041150282595e-09,2.0,18.95423824533113
58618.35552079999,1.7322584500889218e-09,1.7282373766636182e-09,2.0,20.158566505644608
58628.39140433337,1.2050162769374713e-09,5.270243917500621e-10,2.0,21.44799819990793
58632.321689799894,1.2963265649799023e-09,8.818714625561725e-10,2.0,20.88906176660997
58568.476041700225,1.6874760974227882e-09,2.0599406228658517e-09,3.0,19.967938233787265
58572.40193289984,-3.016697283599894e-09,3.240237724680894e-09,3.0,19.476132804129715
58591.323935199995,1.7489852539826295e-08,4.926807665297933e-09,3.0,19.021160968052648
58605.474421299994,6.054650860986614e-09,1.5423518739457632e-09,3.0,20.282116325495615
58616.34586809995,5.193656448233492e-09,1.1513650070866372e-09,3.0,20.599542424147725
58627.450625000056,3.824819681633696e-09,1.5589165213699023e-09,3.0,20.270517839865022
58637.87483313744,3.3844272628487253e-10,1.7732512192874282e-10,1.0,22.630649321306127
58642.31630381833,7.928707486178785e-10,1.614523456291252e-10,1.0,22.73246409175431
58647.382118428315,4.0788605803292273e-10,2.6037611457587074e-10,1.0,22.213572134116927
58652.296548605045,1.2153159523264437e-09,4.1861860108786324e-10,1.0,21.698028683988838
58657.28912904998,9.718300293797013e-10,4.2385640000452707e-10,1.0,21.684528126267935
58661.28508100007,-5.409976048991705e-10,4.1134136139676323e-10,1.0,21.717069036422547
58667.27671759007,2.3459828502622856e-10,2.2895264865136311e-10,1.0,22.35321080902875
58672.570701674966,6.35903475977314e-10,2.1385566776490225e-10,1.0,22.427273077293222
58677.31359297332,3.535748104261809e-10,3.5669186856495583e-10,1.0,21.871841966848706
58682.200187104194,1.7093502240625462e-09,3.456865375983665e-10,1.0,21.90586882234463
58686.55625257781,2.718522130916185e-10,2.6337248210322125e-10,1.0,22.2011489974383
58691.745743175015,4.019476875806577e-10,2.0721482745731004e-10,1.0,22.461522917793406
58697.71251157508,6.752300268831567e-10,4.2580346720827083e-10,1.0,21.679552005497143
58702.59690589985,6.529780733535211e-10,5.062743020128495e-10,1.0,21.49161028019936
58707.71107640837,9.61693734689004e-10,5.272356705366584e-10,1.0,21.44756302638826
58711.93280093325,5.44933065154118e-10,3.6888063359742806e-10,1.0,21.835360351245768
58717.20386718743,2.1874873291350938e-10,2.944715656156237e-10,1.0,22.07996657575301
58722.220070408366,2.7864650820649193e-10,2.5085073593510373e-10,1.0,22.25403654045966
58727.426014175,2.9783041417857236e-10,3.269510490615836e-10,1.0,21.966368151192807
58732.44212771672,5.560103769074268e-10,3.480322219323979e-10,1.0,21.89852635372151
58737.38966436242,5.511946191763979e-10,6.023584361113494e-10,1.0,21.30293749647652
58742.13835937495,-1.1925636592582752e-09,4.675326126753242e-10,1.0,21.57804521311222
58747.18185301991,4.4978777537103483e-10,3.729931198772112e-10,1.0,21.823322936628312
58758.197932100076,6.834037147139163e-10,6.010426827339862e-10,1.0,21.305311703422515
58647.282491708334,1.3000162586278508e-09,2.895786084625155e-10,2.0,22.098158797089418
58652.31853743,8.45148688809089e-10,3.3134971737769125e-10,2.0,21.95185847791249
58657.80626446247,1.0122150021193264e-09,3.829550975383581e-10,2.0,21.79470535211395
58661.80545138742,1.177827963982485e-10,3.831025022812006e-10,2.0,21.79428751755929
58667.339039350045,7.47829653065197e-10,3.604861342704109e-10,2.0,21.860353577448226
58671.91443673335,1.2194779736271833e-09,4.4356625921221654e-10,2.0,21.63517873110318
58677.237912040015,7.129673470043456e-10,4.663708361686114e-10,2.0,21.580746527616235
58680.78355900012,-1.3251501009327888e-09,9.063047208949502e-10,2.0,20.859389383618492
58686.67166666655,5.733000215518204e-10,5.327165959399727e-10,2.0,21.43633442228291
58691.29135416681,7.310828207661757e-10,4.344328413591049e-10,2.0,21.657768367356237
58697.29637729997,2.7799188380653095e-10,5.358884446212777e-10,2.0,21.4298890080611
58702.47901332495,4.888387923046402e-10,5.532369988515246e-10,2.0,21.39529694731777
58707.201485333346,1.1735574796852408e-09,6.884149695337391e-10,2.0,21.15794922550918
58712.97010803331,-8.516579389314273e-11,9.488594914783016e-10,2.0,20.809570223617357
58717.35048609995,2.3103234200845975e-10,1.1109153382314771e-09,2.0,20.63837258154652
58721.854114550166,5.6857668011247e-10,8.739643108394067e-10,2.0,20.898840743735203
58726.865644266676,-5.783703216383509e-10,5.065713732251663e-10,2.0,21.490973379657177
58732.207157419994,6.756534687570462e-10,5.372556479393575e-10,2.0,21.427122514809863
58735.24709489988,6.390319691663542e-10,1.3811975818516232e-09,2.0,20.401935465830544
58740.26623839978,4.104962081912188e-09,2.019202670818984e-09,2.0,19.98962520913508
58747.20198946659,6.33552480081786e-10,5.143139213825302e-10,2.0,21.474504289392684
58750.73933740007,1.745209941248811e-09,1.0094199287431722e-09,2.0,20.742395302516506
58636.3048843001,9.76981813208456e-10,1.1762760719560262e-09,3.0,20.576301832649463
58644.24387730006,3.313258700983372e-09,1.6769255674046994e-09,3.0,20.19129052343605
58648.299374999944,1.7172414803566819e-09,1.6601924036558107e-09,3.0,20.202178933210636
58653.468854200095,4.602690211843691e-09,2.3646577470290862e-09,3.0,19.81815426107675
58662.35120370006,1.6818120306846063e-09,1.4499116403971812e-09,3.0,20.349221147809047
58671.178935199976,1.1667090017119997e-09,1.244008020456453e-09,3.0,20.515517038215172
58677.23728589993,-3.1592985024404735e-10,9.034431186553367e-10,3.0,20.862822953397266
58688.339803200215,-3.3667015410436585e-10,1.3572737091632857e-09,3.0,20.420906397290093
58692.302546299994,9.510435765830729e-10,1.385232110737974e-09,3.0,20.39876861348048
58703.38373839995,1.7848081230779234e-09,1.686363627924648e-09,3.0,20.18519692261115
58710.246111100074,3.9797580362412053e-10,1.5949605067568616e-09,3.0,20.24570015454829
58717.23064814997,9.391812149341051e-10,1.072792610692057e-09,3.0,20.676285555487706
58725.22430559993,2.206967233444295e-09,1.2249914372384118e-09,3.0,20.532242356741442
58733.13913189992,-1.5069016870090044e-09,1.2173642771199799e-09,3.0,20.53902360547721
58747.121932900045,1.1913284474480452e-09,1.6369759713959733e-09,3.0,20.217469227659308
58751.11166669987,2.048591755992842e-09,2.8990576745578043e-09,3.0,19.596932850657723
58758.26797450008,1.154264075792958e-09,2.2998708178174266e-09,3.0,19.84831638246886
58763.12356479978,1.8592848950237897e-09,2.3891789978051845e-09,3.0,19.80695326814762
